Provepunkt;Sampling Date;Tørrstoff ved 105 grader;As (Arsen);Cd (Kadmium);Cr (Krom);Cu (Kopper);Hg (Kvikksølv);Ni (Nikkel);Pb (Bly);Zn (Sink);Naftalen;Acenaftylen;Acenaften;Fluoren;Fenantren;Antracen;Fluoranten;Pyren;Benso(a)antracen^;Krysen^;Benso(b+j)fluoranten^;Benso(k)fluoranten^;Benso(a)pyren^;Dibenso(ah)antracen^;Benso(ghi)perylen;Indeno(123cd)pyren^;Sum PAH-16;Alifater >C8-C10;Alifater >C10-C12;Alifater >C12-C16;Alifater >C16-C35;fra;til;Medium;Ordre nr.;Prosjekt nr.;Prosjekt navn
SK1;2021-10-05;84,8;3,9;0,02;53;38;0,01;42;6,2;71;0,01;0,01;0,01;0,01;0,01;0,01;0,017;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,017;2;5;5;10;1;2;JORD;NO2117145;10228651;Håkon Magnussonsgate 9
SK2;2021-10-05;96,7;6,2;0,02;200;77;0,01;90;1;63;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,04;0,012;0,01;0,01;0,01;0,011;0,01;0,063;2;5;5;42;0;1;JORD;NO2117145;10228651;Håkon Magnussonsgate 9
SK4;2021-10-05;85,2;5;0,02;62;37;0,01;44;5,8;75;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,16;2;5;5;10;1;2;JORD;NO2117145;10228651;Håkon Magnussonsgate 9
SK4;2021-10-05;81;5,5;0,02;68;42;0,066;49;25;140;0,01;0,01;0,01;0,01;0,01;0,01;0,014;0,011;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,025;2;5;5;10;3;4;JORD;NO2117145;10228651;Håkon Magnussonsgate 9
SK5;2021-10-05;78;2,7;0,02;65;43;0,01;49;9,6;93;0,01;0,01;0,01;0,01;0,015;0,01;0,049;0,035;0,01;0,012;0,026;0,01;0,017;0,01;0,012;0,01;0,17;2;5;5;10;1;2;JORD;NO2117145;10228651;Håkon Magnussonsgate 9
SK5;2021-10-05;81,1;7,7;0,02;78;61;0,01;60;6,5;99;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,16;2;5;5;10;3,3;4;JORD;NO2117145;10228651;Håkon Magnussonsgate 9
SK6;2021-10-05;80,7;4,3;0,02;69;50;0,025;52;13;91;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,16;2;5;5;10;1;2;JORD;NO2117145;10228651;Håkon Magnussonsgate 9
SK7;2021-10-05;63;7,7;0,02;100;57;0,054;69;34;150;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,16;2;5;5;11;1;1,7;JORD;NO2117145;10228651;Håkon Magnussonsgate 9
SK9;2021-10-05;80,4;2;0,02;46;26;0,053;30;11;68;0,01;0,01;0,01;0,01;0,011;0,01;0,031;0,024;0,01;0,011;0,02;0,01;0,011;0,01;0,01;0,012;0,12;2;5;5;10;0,5;1;JORD;NO2117145;10228651;Håkon Magnussonsgate 9
SK10;2021-10-05;81,2;0,96;0,02;45;28;0,01;35;6,1;61;0,045;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,045;2;5;5;10;2;3;JORD;NO2117145;10228651;Håkon Magnussonsgate 9
